,Algorithm,done,Graph,No. of Agents,Initial Locations,Parameters,Priority Nodes,Random String,sim_length,use_sim_time,Average Idleness,Priority Average Idleness,N. P. Average Idleness,Max Idleness,Priority Max Idleness,N. P.  Max Idleness,Average Ration,Depth,Sampling size
90,ppa_exhaustive,False,grid_5_5,4,1 12 4 13,0,13 1 12 4,ppa_exhaustive_grid_5_5_4_0,20000,True,179.34385680716,92.8825433728314,195.812678413698,1512,485,1512,2.52882049021714,0,
91,ppa_exhaustive,False,iitb,4,4369058864 667357401 cluster_-172_5366445082 668685374,0,4369058864 cluster_-172_5366445082 668685374 667357401,ppa_exhaustive_iitb_28_0,20000,True,348.688448531494,166.11118746564,385.203900744665,5074,719,5074,2.59971887465766,0,
92,ppa_exhaustive,False,cair,1,1563324348,0,1563324349 1563324343 1154147727 1563324348 1154147726 cluster_1563324004_1563324334,ppa_exhaustive_cair_21_0,20000,True,300.966861111111,102.541608333333,400.1794875,2047,419,2047,4.20067976615845,0,
93,ppa_exhaustive,False,iitb,2,5882320075 -22,0,5882320075 -22 667357387 1990860598 667357361,ppa_exhaustive_iitb_66_0,20000,True,499.073223804764,402.788865567216,524.411212814645,3741,1426,3741,1.38089761787741,0,
94,ppa_exhaustive,False,cair,1,1563324011,0,1563324336 1154147727 1154147728 cluster_1563324002_1563324346 1563324011,ppa_exhaustive_cair_17_0,20000,True,251.966438888889,134.31497,297.217003846154,1509,522,1509,2.357521530064,0,
95,ppa_exhaustive,False,iitb,1,3215340463,0,5882320075 668620103 3215340463 3215340464,ppa_exhaustive_iitb_61_0,20000,True,569.239242606115,334.234432829849,616.240204561368,5540,1158,5540,2.09942711245192,0,
96,ppa_exhaustive,False,iitb,3,1990860600 667357415 -22,0,667357401 5366445083 667357361 1990860600 667357415 -22,ppa_exhaustive_iitb_71_0,20000,True,374.124681441135,210.13526051036,428.787821751394,3228,961,3228,2.1824244528982,0,
97,ppa_exhaustive,False,iitb,1,1990860600,0,667357401 5366445083 667357361 1990860600 667357415 -22,ppa_exhaustive_iitb_69_0,20000,True,697.260099177552,359.265777488614,809.924873073865,6591,1200,6591,2.38383897850295,0,
98,ppa_exhaustive,False,cair,4,1563324357 1563324324 cluster_1563324004_1563324334 1154147728,0,1563324324 cluster_1563324002_1563324346 cluster_1563324004_1563324334 1563324349 1154147728 1563324357,ppa_exhaustive_cair_96_0,20000,True,104.931493796912,41.716394153041,136.539043618848,922,407,922,3.74704606747352,0,
99,ppa_exhaustive,False,cair,4,cluster_1563324010_1563324356 1154147728 1563324324 1563324343,0,1563324343 cluster_1563324010_1563324356 1154147728 1563324324 1563324348,ppa_exhaustive_cair_56_0,20000,True,94.63625,38.365,116.279038461538,823,379,823,3.3375448780297,0,
